Brand,Model,Year_of_Manufacture,Condition,Transmission,Fuel_Type,Engine_Capacity,Mileage,Price_LKR
Toyota,Roomy,2025,Used,Automatic,Petrol,1000,7400,11950000
Honda,Vezel,2025,Brand New â Zero Mileage,E-CVT,Petrol + Hybrid,1500,0,19575000
Kia,Sportage,2013,Used,Automatic,Diesel,2000,98000,9200000
Toyota,Land Cruiser Prado,2017,Used,Automatic,Petrol,2700,125000,37500000
Suzuki,Ignis,2019,Used,Automatic,Hybrid,1197,89000,6200000
Audi,A3,2025,Brand New,Automatic,Petrol,1500,0,31500000
Honda,Vezel,2026,Brand New â Zero Mileage,E-CVT,Petrol + Hybrid,1500,0,19575000
Toyota,Raize,2025,Brand New,Automatic,Hybrid,1200,0,14500000
Nissan,Roox,2024,Reconditioned,Automatic,Hybrid,658,28000,8950000
Honda,Vezel,2026,Import,Automatic,Hybrid,1500,20,19178000
Toyota,Raize,2023,Import,Automatic,Petrol,1200,20100,12490000
Audi,A3,2025,Brand New,Automatic,Petrol,1500,0,31500000
Suzuki,Fronx,2026,Brand New,Automatic,Petrol,1000,0,11775000
Honda,Freed,2015,Used,Automatic,Hybrid,1500,151716,9995000
Audi,A3,2025,Brand New,Automatic,Hybrid,1500,0,31500000
Toyota,Alphard,2019,Used,Automatic,Petrol,2490,50400,48000000
Kia,Sportage,2012,Used,Automatic,Petrol,2000,177000,8990000
Suzuki,Fronx,2026,Brand New,Automatic,Petrol,1000,0,11775000
Hyundai,Venue N Line,2026,Brand New,Automatic,Petrol,1000,0,14000000
Toyota,Taisor,2026,Brand New,Automatic,Hybrid,1000,0,11975000
Mitsubishi,Outlander,2016,Used,Automatic,Hybrid,2000,125000,16950000
Toyota,Yaris,2023,Import,Automatic,Petrol,1000,20200,10890000
Honda,Vezel,2025,Brand New,Automatic,Petrol,1500,0,20990000
Daihatsu,Mira,2023,Import,Automatic,Petrol,660,12250,6890000
Land Rover,Defender X-Dynamic HSE,2025,Brand New,8-Speed Automatic,Hybrid,2000,0,87500000
Mitsubishi,ASX,2014,Used,Automatic,Petrol,2000,160000,8490000
Nissan,X-Trail,2016,Used,Automatic,Petrol,2000,74000,12000000
DFSK,Glory,2023,Used,Automatic,Petrol,1498,59890,8700000
Toyota,Premio,2017,Used,Automatic,Petrol,1500,90000,14100000
Suzuki,Every,2026,Brand New,Automatic,Petrol,660,0,9075000
Toyota,Vitz,2017,Used,Automatic,Petrol,1000,72000,7790000
Honda,CRV,2018,Used,Automatic,Petrol,1500,84000,16850000
Toyota,Prius,2012,Used,Automatic,Hybrid,1800,156000,10950000
Lexus,Other Model,2003,Used,Automatic,Petrol,2400,130000,7000000
Toyota,Passo,2017,Used,Automatic,Petrol,1000,72000,7790000
Suzuki,Wagon R,2016,Used,Automatic,Hybrid,650,65000,6200000
Mitsubishi,Eclipse Cross,2018,Used,Automatic,Petrol,1500,90000,12750000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1496,20,19275000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,19650000
Mitsubishi,Lancer,1983,Used,Manual,Petrol,1500,316200,790000
MG,ZS,2021,Used,Automatic,Petrol,1000,54000,11650000
Nissan,Dayz,2025,Reconditioned,Automatic,Hybrid,660,1848,9000000
BAIC,X55 II,2025,Used,Tiptronic,Petrol,1500,9000,15800000
DFSK,Glory,2021,Used,Automatic,Petrol,1500,66865,12000000
Toyota,Vitz,2018,Used,Automatic,Petrol,1000,80000,8350000
Audi,Q3,2024,Import,Automatic,Petrol,1500,2600,30990000
Audi,Q7,2025,Used,Automatic,Petrol,2000,10500,67500000
Volkswagen,Tiguan,2018,Used,Automatic,Petrol,1500,65800,17500000
Toyota,Land Cruiser Prado,2017,Used,Automatic,Petrol,2700,98000,38500000
Toyota,Raize,2023,Reconditioned,Automatic,Hybrid,1200,10000,14000000
Toyota,Raize,2025,Import,Automatic,Hybrid,1200,0,14790000
Honda,Civic,2018,Used,Automatic,Petrol,1000,75000,11250000
Audi,A3,2018,Used,Automatic,Petrol,1000,48000,13900000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1200,0,14550000
Nissan,Dayz,2023,Reconditioned,Automatic,Petrol,658,21488,7550000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,19490000
Peugeot,5008,2018,Used,Automatic,Petrol,1200,99000,16650000
Ford,Raptor Ranger,2025,â¨ Black & Orange Premium Leather Interior,Automatic,Diesel,2000,800,34890000
Suzuki,Wagon R FX,2023,Reconditioned,Automatic,Hybrid,658,5736,7950000
Nissan,Dayz,2026,Brand New,Automatic,Hybrid,660,10,9250000
Nissan,Dayz,2025,Reconditioned,Automatic,Petrol,660,3000,7650000
Tesla,Model Y,2023,Used,Automatic,Electric,195,19000,26500000
Toyota,Raize,2025,Brand New,Automatic,Hybrid,1200,4200,14350000
Toyota,Raize,2025,Brand New,Automatic,Hybrid,1200,0,14500000
Mitsubishi,ASX,2014,Used,Automatic,Petrol,2000,160000,8490000
Suzuki,Spacia,2026,Brand New,Automatic,Hybrid,660,0,10790000
Toyota,Urban Cruiser Taisor,2026,Brand New,Automatic,Petrol,1000,37,11900000
Mazda,3,2016,Used,Automatic,Petrol,1600,25020,11950000
Nissan,Dayz,2026,Brand New,Automatic,Hybrid,660,10,9250000
Toyota,RAV4,2007,Used,Automatic,Petrol,2360,285000,7500000
Nissan,Leaf,2016,Used,Automatic,Electric,70,53000,6250000
Hyundai,Sonata,1997,Used,Manual,Petrol,1997,124546,1600000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1490,0,19500000
Land Rover,Discovery Sport,2024,Used,Automatic,Hybrid,1500,5200,53900000
Jeep,Wrangler,2018,Used,Automatic,Petrol,2000,124000,52000000
Suzuki,Every,2024,Reconditioned,Automatic,Petrol,660,19000,7750000
Nissan,Dayz,2024,Reconditioned,Automatic,Hybrid,660,1200,8400000
Suzuki,Wagon R,2024,Reconditioned,Automatic,Petrol,660,2000,7735000
Nissan,Dayz,2026,Brand New,Automatic,Hybrid,660,11,9200000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1490,0,20900000
Daihatsu,Mira,2025,Import,Automatic,Petrol,660,880,7490000
Toyota,Raize,2024,Reconditioned,Automatic,Petrol,1000,6000,13475000
Daihatsu,Mira,2023,Reconditioned,Automatic,Petrol,658,20320,6750000
Suzuki,Every,2023,Reconditioned,Automatic,Petrol,660,2000,7860000
BMW,520d,2013,Used,Automatic,Diesel,2000,120000,19850000
Suzuki,Alto,2010,Used,Manual,Petrol,800,209729,3250000
Toyota,Yaris,2023,Reconditioned,Automatic,Hybrid,1500,10120,16250000
Honda,Freed,2023,Reconditioned,Automatic,Hybrid,1496,21046,16300000
Daihatsu,Boon,2023,Reconditioned,Automatic,Petrol,1000,5548,8550000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,19590000
Nissan,March,2000,Used,Manual,Petrol,1270,215000,2945000
Toyota,Raize,2025,Brand New,Automatic,Hybrid,1200,0,14500000
Toyota,Roomy,2023,Reconditioned,Automatic,Petrol,1000,31000,9585000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,50,18675000
Micro,Panda,2018,Used,Manual,Petrol,1000,146000,3900000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,19675000
Honda,Vezel,2015,Used,Automatic,Hybrid,1500,89000,10350000
Toyota,Taisor,2026,Brand New,Automatic,Hybrid,1000,10,11700000
Toyota,Axio,2013,Used,Automatic,Petrol,1300,69733,8400000
Nissan,AD Wagon,2003,Used,Automatic,Petrol,1500,255000,3690000
Toyota,Premio,2017,* â Genuine Mileage,Automatic,Petrol,1500,197000,15400000
Toyota,Yaris,2025,Brand New,Automatic,Petrol,1000,0,11285000
Suzuki,Spacia,2025,Used,Automatic,Hybrid,660,5700,9475000
Mitsubishi,Eclipse Cross,2024,Brand New,Automatic,Petrol,1500,1000,20500000
Audi,A8,2013,Used,Tiptronic,Hybrid,2000,90000,18500000
Suzuki,Swift,2004,Used,Automatic,Petrol,1320,207171,5150000
Mazda,Familia,2003,Used,Automatic,Petrol,1500,234000,3970000
Toyota,Yaris,2023,Reconditioned,Automatic,Petrol,1000,13000,11075000
Mitsubishi,Eclipse Cross,2025,Brand New,Automatic,Petrol,1500,0,25500000
Kia,Sonet,2026,Brand New,Automatic,Petrol,990,0,11390000
Daihatsu,Mira,2024,Reconditioned,Automatic,Petrol,660,2805,7350000
Perodua,Kelisa,2004,Used,Automatic,Petrol,800,174000,3200000
Honda,CRV,2013,Used,Automatic,Petrol,2350,272000,10900000
Daihatsu,Rocky,2026,Brand New,Automatic,Hybrid,1200,0,14100000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1200,0,14475000
Toyota,Roomy,2024,Import,Automatic,Petrol,1000,14500,11200000
Honda,Vezel,2023,Reconditioned,Automatic,Hybrid,1490,14250,20350000
Suzuki,Alto,2024,Reconditioned,Automatic,Hybrid,660,14000,7175000
Toyota,Passo,2023,Used,Automatic,Petrol,990,10000,8800000
Suzuki,Wagon R,2025,Reconditioned,Automatic,Petrol,660,8400,7750000
Nissan,Roox,2025,Brand New,Automatic,Hybrid,660,3,8400000
Honda,WR-V,2025,Used,Tiptronic,Petrol,1500,4200,16300000
Kia,Seltos,2026,Brand New,Automatic,Petrol,1500,51,20500000
Nissan,Dayz,2026,Brand New,Automatic,Hybrid,660,0,9100000
Toyota,Passo,2023,Used,Automatic,Petrol,990,37000,9200000
Audi,A3,2024,Reconditioned,Tiptronic,Petrol,1000,9600,18995000
Toyota,Yaris,2024,Used,Automatic,Hybrid,1500,29000,16200000
Daihatsu,Rocky,2026,Brand New,Automatic,Hybrid,1200,0,14375000
Nissan,Teana,2011,Used,Automatic,Petrol,2500,168000,8990000
Daihatsu,Taft,2023,Brand New,Automatic,Petrol,650,10000,8390000
Hyundai,Venue,2026,Brand New,Automatic,Petrol,1000,0,13850000
Audi,Q8 E Tron 50,2024,Brand New,Automatic,Electric,1,0,36950000
Suzuki,Fronx,2026,Brand New,Automatic,Petrol,1000,0,11775000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,2,19400000
Toyota,Passo,2023,Used,Automatic,Petrol,990,18000,8800000
Toyota,Taisor,2026,Brand New,Automatic,Hybrid,1000,0,11800000
Daihatsu,Taft,2023,Brand New,Automatic,Petrol,650,10000,8390000
Porsche,Cayenne,2012,Used,Automatic,Hybrid,3000,82000,18800000
Toyota,Raize,2025,Brand New,Automatic,Hybrid,1200,0,14650000
Toyota,Passo,2023,Used,Automatic,Petrol,990,18000,9200000
Mitsubishi,Montero,2012,Used,Tiptronic,Diesel,2500,159000,13950000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,103,21400000
Land Rover,Discovery,2015,Used,Automatic,Diesel,3000,156750,30950000
Toyota,Raize,2024,Used,Automatic,Petrol,990,19000,13000000
Toyota,Roomy,2023,Reconditioned,Automatic,Petrol,996,10000,9750000
Suzuki,Alto,2024,Import,Automatic,Petrol,660,13500,7190000
Daihatsu,Mira,2025,Brand New,Automatic,Petrol,650,0,6850000
Suzuki,Wagon R Stingray,2017,Used,Automatic,Petrol,660,97000,7390000
Honda,Vezel,2025,Brand New,Automatic,Hybrid,1500,100,20350000
Volvo,S60,2016,Used,"Automatic Edition: T6 AWD Drive-Engine Performance: 316 HP, 400 Nm, 8-speed automatic gearbox (7,000 RPM) Acceleration: 0 - 100 km/h in 5.6 seconds (Top speed: 250 km/h)",Petrol,2000,31000,15900000
Toyota,Land Cruiser Prado,2000,Used,Tiptronic,Petrol,3400,185000,12000000
Nissan,Dayz,2025,Reconditioned,Automatic,Hybrid,660,26000,8495000
Toyota,Raize,2025,Brand New,Automatic,Petrol,990,0,13200000
Suzuki,Wagon R,2025,Brand New,Automatic,Petrol,660,500,8500000
Honda,Vezel,2017,Used,Automatic,Hybrid,1500,101100,11875000
Toyota,Roomy,2026,Brand New,Automatic,Petrol,1000,0,12800000
Toyota,Yaris,2023,Brand New,Automatic,Petrol,996,22226,10250000
Suzuki,Suzuki Spacia Hybrid ð,2023,Reconditioned,Automatic,Hybrid,660,10000,7950000
Suzuki,Every,2020,Reconditioned,Automatic,Petrol,650,47000,7390000
Toyota,Aqua,2014,Reconditioned,Automatic,Hybrid,1500,27000,9450000
Daihatsu,Mira,2025,Brand New,Automatic,Petrol,650,0,7250000
Nissan,Sunny,1992,Used,Manual,Diesel,1500,100000,2570000
Toyota,Raize,2025,Reconditioned,Automatic,Petrol,1200,6500,14300000
Toyota,Raize Z,2026,Brand New,Automatic,Hybrid,1200,0,14750000
Ford,Raptor Ranger,2025,Brand New,Automatic,Diesel,2000,0,35000000
Nissan,Dayz,2023,Import,Automatic,Petrol,660,47300,7590000
Suzuki,Wagon R,2026,Brand New,Automatic,Petrol,650,0,8590000
Suzuki,Smile,2025,Brand New,Automatic,Hybrid,650,1000,9250000
Audi,Q4 E-Tron S Line,2023,Brand New,Automatic,Electric,155,0,39000000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,100,19800000
BMW,320i,2007,Used,Automatic,Petrol,2000,157000,9650000
Mitsubishi,ASX,2014,Used,Automatic,Petrol,2000,85000,9400000
Nissan,Almera,2025,Used,Automatic,Petrol,1000,12000,11950000
Nissan,Serena,2025,Brand New,Automatic,Hybrid,1400,0,23000000
Nissan,Almera,2025,Brand New,Automatic,Petrol,1000,0,13650000
Nissan,Patrol,2014,Used,Manual,Diesel,4200,149000,33750000
Toyota,Raize,2026,Brand New,Automatic,Petrol,1200,0,14800000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,50,18675000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1198,12,14700000
Audi,Q3,2013,Used,Automatic,Petrol,2000,121000,13000000
Toyota,Raize,2025,Used,Automatic,Petrol,1000,2000,13350000
Honda,Vezel,2025,Brand New,Automatic,Hybrid,1500,2000,20350000
Other brand,Other model,2025,Brand New,Automatic,Diesel,2000,0,18750000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1,10,14700000
Mercedes Benz,C200,2023,Used,Automatic,Petrol,1500,15000,38500000
Daihatsu,Charmant,1987,Used,Manual,Petrol,1166,68500,2250000
Mercedes Benz,GLB,2025,Used,Automatic,Petrol,1400,1500,38500000
Mercedes Benz,CLA 180,2017,Used,Tiptronic,Petrol,1600,93000,18950000
Kia,Sportage,2012,Used,Automatic,Diesel,2000,172000,9950000
Volkswagen,Polo,2023,Used,Automatic,Petrol,1000,35000,13000000
Audi,A3,2023,Used,Automatic,Petrol,1000,12000,19350000
Toyota,Yaris Cross,2026,Brand New,Automatic,Hybrid,1500,7,18200000
Audi,A3,2023,Used,Automatic,Petrol,1000,50000,22800000
Honda,2024 Model (Latest Shape!),2024,"Mint condition, Company Maintained ð ï¸ (All records available)",Automatic,Hybrid,1500,13000,16800000
Peugeot,5008,2025,Brand New,Automatic,Hybrid,1200,0,36000000
Peugeot,5008,2025,Brand New,Automatic,Hybrid,1200,0,36000000
Hyundai,Atos,2004,Used,Manual,Petrol,1000,132000,2350000
Audi,A3,2023,Used,Automatic,Petrol,1000,25000,22300000
Peugeot,5008,2025,Brand New,Automatic,Hybrid,1200,0,36000000
Suzuki,Spacia,2025,Brand New,Automatic,Hybrid,660,7,9900000
Suzuki,Swift,2002,Used,Automatic,Petrol,1300,165000,3950000
Audi,A3,2023,Used,Automatic,Petrol,1000,16000,16650000
Audi,A3,2023,Used,Automatic,Petrol,1000,19000,16650000
Honda,Vezel,2025,Used,Automatic,Hybrid,1500,19000,18350000
Suzuki,Alto,2024,Reconditioned,Automatic,Petrol,660,2600,6650000
Audi,A3,2023,Used,Automatic,Petrol,1000,3000,19550000
Toyota,Vitz,2017,Used,Automatic,Petrol,1000,115000,7850000
Kia,Syros,2026,Brand New,Automatic,Petrol,1000,200,13800000
Daihatsu,Mira,2023,Import,Automatic,Petrol,660,18800,6890000
Toyota,Pixis,2023,Import,Automatic,Petrol,660,13900,7690000
Nissan,Dayz,2024,Reconditioned,Automatic,Petrol,660,10000,7950000
Maruti,Other Model,2010,Used,Manual,Petrol,800,56200,2575000
BMW,318i,2018,Used,Automatic,Petrol,1500,48000,21500000
Daihatsu,Hijet,2025,Brand New,Automatic,Petrol,660,250,6575000
Land Rover,Discovery,2018,Used,Automatic,Diesel,2000,112000,41000000
Daihatsu,Hijet,2024,Reconditioned,Automatic,Petrol,660,7000,6745000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,19950000
Toyota,Prius,2011,Used,Automatic,Hybrid,1500,120000,8950000
Micro,Tivoli,2016,Used,Automatic,Petrol,1600,165000,7000000
Nissan,Roox,2024,Reconditioned,Automatic,Petrol,660,2600,8350000
Toyota,Passo,2009,Used,Automatic,Petrol,1500,135000,6790000
Mercedes Benz,E300,2013,Used,Automatic,Hybrid,2100,78000,13500000
Toyota,Corolla,2021,Used,Automatic,Petrol,1600,180000,6890000
Nissan,Dayz,2025,Reconditioned,Automatic,Petrol,650,8000,8675000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,650,20750000
Toyota,Passo,2016,Used,Automatic,Petrol,1000,84748,6990000
Toyota,Premio,2017,Used,Automatic,Petrol,1480,99875,14975000
Ssang Yong,Rexton,2006,Used,Automatic,Diesel,2696,126728,10500000
Audi,Q2,2018,Used,Automatic,Petrol,1000,28400,13500000
Daihatsu,Mira,2025,Brand New,CVT Automatic,Petrol,660,0,7450000
BYD,Sealion 6,2025,Used,Automatic,Hybrid,1500,10000,20000000
Toyota,Taisor,2026,Brand New,Automatic,Hybrid,1000,0,11900000
Mitsubishi,Outlander,2015,Used,Automatic,Hybrid,1990,101200,12950000
Daihatsu,Mira,2024,Reconditioned,Automatic,Petrol,660,9500,6975000
Nissan,Dayz,2025,Reconditioned,Automatic,Petrol,660,1600,8350000
Toyota,Land Cruiser Prado,2016,Used,Tiptronic,Petrol,2700,21000,39000000
Land Rover,Defender,2026,Brand New,Automatic,Hybrid,2000,0,79500000
Daihatsu,Mira,2025,Reconditioned,CVT Automatic,Petrol,660,0,7450000
Suzuki,Wagon R,2026,Brand New,Automatic,Hybrid,660,5,9500000
Toyota,Corolla,2001,Used,Automatic,Diesel,2000,175000,3875000
Audi,A3,2023,Reconditioned,Tiptronic,Petrol,1000,8000,18500000
Daihatsu,Mira,2024,Reconditioned,CVT Automatic,Petrol,660,4800,7350000
Daihatsu,Mira,2024,Brand New,Automatic,Petrol,660,0,7350000
Toyota,Starlet,1997,Used,Automatic,Petrol,1450,175000,3250000
Toyota,Hilux,2026,Brand New,Automatic,Diesel,2800,0,29950000
Nissan,Roox,2024,Reconditioned,Automatic,Petrol,660,21000,8650000
Honda,Vezel,2018,Used,Automatic,Hybrid,1500,128000,11900000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,50,11490000
Toyota,Roomy,2025,Reconditioned,Automatic,Petrol,1000,5000,9550000
Toyota,Hilux,2026,Brand New,Automatic,Diesel,2800,0,25990000
Suzuki,Wagon R,2026,Brand New,Automatic,Hybrid,650,15,9690000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1490,7,20800000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,0,12450000
Daihatsu,Mira,2025,Reconditioned,Automatic,Petrol,650,2200,7590000
Honda,CRV,2026,Brand New,Automatic,Petrol,1500,0,30990000
Toyota,Raize,2025,Reconditioned,Automatic,Petrol,1200,3000,14990000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,50,11490000
Kia,Seltos,2026,Used,Automatic,Petrol,1500,950,19500000
Suzuki,Wagon R,2026,Brand New,Automatic,Petrol,660,0,8390000
Suzuki,Wagon R ZX,2026,Brand New,Automatic,Hybrid,660,0,9390000
Suzuki,Spacia,2026,Brand New,Automatic,Hybrid,660,0,10790000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1490,0,21075000
Kia,Kia Syros,2026,Brand New,Automatic (DCT),Petrol,1000,0,12790000
Mercedes Benz,CLA 200,2019,Used,Automatic,Petrol,1300,98000,21400000
Hyundai,Venue,2026,Brand New,Automatic,Petrol,1000,0,12790000
Toyota,Hilux,2016,Used,Tiptronic,Diesel,3000,143000,17290000
Toyota,Roomy,2023,Reconditioned,Automatic,Petrol,1000,18000,8975000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,50,11490000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,,11390000
Suzuki,Suzuki Fronx Alpha,2026,Brand New,Automatic,Petrol,1000,0,11090000
Toyota,Toyota Hyryder,2026,Brand New,Automatic (e-CVT),Hybrid Petrol,1500,0,17790000
Suzuki,Wagon R ZX,2026,Brand New,Automatic,Hybrid,660,4,9500000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,0,11890000
Toyota,Toyota Urban Cruiser Taisor G Grade,2026,Brand New,Automatic,Petrol,1000,0,10890000
Suzuki,Wagon R FX,2024,Reconditioned,Automatic,Petrol,660,4860,7850000
Honda,Vezel,2016,Used,Automatic,Hybrid,1496,130000,10800000
Micro,BAIC,2018,Used,Automatic,Petrol,1500,63285,5000000
Toyota,Land Cruiser Prado,2017,Used,Automatic,Petrol,2700,47000,41500000
Toyota,Yaris,2026,Brand New,Automatic,Petrol,1000,0,12000000
Suzuki,Fronx,2026,Brand New,Automatic,Petrol,1000,0,11275000
Toyota,Raize,2026,Brand New,Automatic,Petrol,1000,0,13700000
Suzuki,Fronx,2026,Brand New,Automatic,Petrol,1500,0,11375000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,19775000
Hyundai,Santro,2001,Used,Manual,Petrol,1000,150000,1950000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,0,12475000
Kia,Sonet,2026,Brand New,Automatic,Petrol,1000,0,12375000
Mitsubishi,eK Wagon,2024,Reconditioned,Automatic,Petrol,660,3900,7450000
DFSK,Glory,2022,Used,Automatic,Petrol,1500,32950,9800000
Land Rover,Defender,2008,Used,Manual,Diesel,2200,98000,27500000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,20975000
Ford,Ranger,2016,Used,Automatic,Diesel,3200,210000,18500000
Suzuki,Wagon R FZ,2018,Used,Automatic,Hybrid,660,77000,7150000
Tata,Nano,2012,Used,Manual,Petrol,624,100000,1450000
Mercedes Benz,S400,2017,Used,Automatic,Hybrid,2140,49800,65000000
BMW,525i,2025,Reconditioned,Tiptronic,Petrol,2000,3000,58500000
Audi,A3,2023,Reconditioned,Tiptronic,Petrol,1000,6000,20000000
Audi,A3,2023,Reconditioned,Tiptronic,Petrol,1000,5000,21000000
Land Rover,Range Rover Sport,2018,Used,Automatic,Diesel,2000,31000,53500000
Toyota,Roomy,2025,Reconditioned,Automatic,Petrol,100,2000,12090000
Honda,Vezel,2026,Brand New,Automatic,Hybrid,1500,0,19800000
Audi,A3,2023,Reconditioned,Tiptronic,Petrol,1000,10000,17300000
Audi,A3,2023,Reconditioned,Tiptronic,Petrol,1000,12000,17300000
Audi,A3,2023,Reconditioned,Tiptronic,Petrol,1000,12000,21000000
Toyota,Land Cruiser Sahara,2023,Used,Automatic,Diesel,2700,109000,75000000
Audi,A3,2023,Reconditioned,Tiptronic,Petrol,1000,13000,18500000
Toyota,Land Cruiser Prado,2023,Reconditioned,Automatic,Petrol,2700,8500,53000000
BMW,X1,2025,Reconditioned,Tiptronic,Petrol,1500,2000,34000000
Audi,Q3,2023,Reconditioned,Tiptronic,Petrol,1500,13000,29800000
Audi,A3,2023,Reconditioned,Tiptronic,Petrol,1000,4000,16800000
Audi,A3,2023,Reconditioned,Tiptronic,Petrol,1000,7000,20000000
Kia,Syros,2026,Brand New,Automatic,Petrol,1000,0,13750000
Audi,A3,2023,Reconditioned,Tiptronic,Petrol,1000,3000,17500000
Audi,A3,2023,Reconditioned,Tiptronic,Petrol,1000,5000,18800000
Nissan,Sunny,1993,Used,Manual,Diesel,1700,40000,2250000
DFSK,Glory,2022,Used,Automatic,Petrol,1500,32950,9800000
Hyundai,Santa Fe,2011,Used,Automatic,Petrol,2400,176987,6775000
Toyota,Raize,2026,Brand New,Automatic,Hybrid,1196,20,13750000
Perodua,Viva Elite,2011,Used,Automatic,Petrol,1000,135000,4375000
BAW,E7,2026,Used,Automatic,Electric,25,0,1000000
Suzuki,Alto,2015,Used,Manual,Petrol,650,135000,4075000
Suzuki,Wagon R FX,2017,Used,Automatic,Hybrid,650,105000,5875000
Toyota,Carina,2006,Used,Manual,Petrol,1500,228000,4500000
Honda,Vezel Z PLAY,2024,Reconditioned,Automatic,Hybrid,1500,8900,18500000
Ford,Raptor Ranger,2025,Brand New,Automatic,Diesel,2000,0,34900000
Toyota,Corolla,1996,Used,Manual,Petrol,1300,250000,3500000
Mitsubishi,Outlander,2014,Used,Automatic,Hybrid,1990,123000,13000000
MG,ZS,2018,Used,Automatic,Petrol,1000,68000,8650000
Honda,Civic,2019,Used,Automatic,Petrol,1000,86000,13100000
Toyota,Vitz,2016,Used,Automatic,Petrol,1000,88600,8000000
Honda,Civic,2018,Used,Automatic,Petrol,1000,103000,13200000
Toyota,Allion,2003,Used,Automatic,Petrol,1500,210000,6850000
Mercedes Benz,C200,2014,Used,Automatic,Petrol,1991,85000,20000000
Honda,Vezel,2017,Used,Automatic,Hybrid,1496,96000,12200000
Toyota,Land Cruiser Sahara,2014,Used,Automatic,Petrol,4500,36000,55000000
Suzuki,Alto,2024,Reconditioned,Automatic,Petrol,660,4000,6950000
Volkswagen,Polo,2024,Reconditioned,Automatic,Petrol,1000,12000,12150000
Volkswagen,Polo,2023,Reconditioned,Automatic,Petrol,1000,15000,11490000
Isuzu,Rodeo,1987,Used,Manual,Diesel,2238,200000,2800000
BYD,Sealion 6,2024,Used,Automatic,Petrol,1500,10000,20250000
DFSK,Glory 580,2022,Used,Automatic,Petrol,1500,43000,8800000
Honda,Vezel,2026,Brand New,Automatic,Petrol,1500,0,19650000
Toyota,Hyryder,2025,Brand New,Automatic,Petrol,1490,0,17250000
Toyota,Premio,2016,Used,Automatic,Petrol,1500,108000,15200000
Toyota,Starlet,1997,Used,Automatic,Petrol,1450,175000,3250000
Ssang Yong,Tivoli,2015,Used,Tiptronic,Petrol,1600,150000,7190000
Mitsubishi,Eclipse Cross,2025,Reconditioned,Automatic,Petrol,1490,4000,19700000
Toyota,Roomy,2026,Brand New,Automatic,Petrol,990,0,12500000
Toyota,Roomy,2024,Reconditioned,Automatic,Petrol,990,9000,9250000
Suzuki,XBee,2023,Reconditioned,Automatic,Petrol,1000,19000,10575000
Toyota,Land Cruiser Prado,2024,Used,Automatic,Petrol,2690,6000,59500000
Suzuki,Other Model,2026,Brand New,Automatic,Petrol,650,0,9250000
Toyota,Raize,2024,Used,Automatic,Hybrid,1190,8000,13000000
Mercedes Benz,C200,2019,Reconditioned,Automatic,Petrol,1500,85000,23790000
Toyota,Yaris,2024,Reconditioned,Automatic,Petrol,1000,17000,9790000
Audi,A1,2017,Used,Automatic,Petrol,1000,77000,8990000
Mini,Cooper,1961,Used,Automatic,Petrol,1000,100000,2350000
Nissan,Wingroad,1997,Used,Manual,Petrol,1600,250000,2500000
Suzuki,Wagon R FX,2024,Brand New,Automatic,Petrol,650,5000,7890000
Bajaj,Qute,2019,Used,Manual,Petrol,216,52482,1600000
Suzuki,Wagon R,2016,Used,Automatic,Hybrid,650,104000,7200000
Honda,Fit,2007,Used,Automatic,Petrol,1290,180000,5490000
Nissan,Sunny,1991,Used,Manual,Petrol,1490,268188,2350000
Toyota,Land Cruiser Sahara,2010,Reconditioned,Automatic,Diesel,4500,115000,43500000
Suzuki,Swift,2024,Reconditioned,Automatic,Hybrid,1200,3530,13350000
Nissan,Qashqai,2018,Used,Automatic,Petrol,1197,57000,12950000
